objectid,street_num,street_name,longitude,latitude,meter_type,point
201860,710,MONTGOMERY ST,-122.4033344652,37.7958925536,MS,"(37.79589255395237, -122.40333446529827)"
201872,324,JACKSON ST,-122.4012321976,37.7967528001,MS,"(37.79675279956531, -122.4012321981121)"
201882,606,FRONT ST,-122.39947270200001,37.7971979015,SS,"(37.797197901637816, -122.39947270220064)"
201935,568,WASHINGTON ST,-122.4031900984,37.7956008975,SS,"(37.7956008973654, -122.40319009796664)"
201968,712,SACRAMENTO ST,-122.4051986986,37.7935315006,SS,"(37.79353150072867, -122.4051986990088)"
202004,540,CLAY ST,-122.40298609969999,37.7947636013,MS,"(37.794763601423696, -122.40298610024227)"
202022,623,04TH ST,-122.3957848993,37.7778623988,-,"(37.77786239913025, -122.39578489901604)"
202028,107,SOUTH PARK,-122.3946455975,37.7809253027,MS,"(37.78092530321837, -122.39464559809286)"
202046,907,HOWARD ST,-122.4051673,37.7811976028,SS,"(37.78119760275694, -122.4051673004913)"
202060,86,TOWNSEND ST,-122.3903511015,37.7808676016,SS,"(37.78086760228231, -122.39035110059255)"
202144,161,TOWNSEND ST,-122.3917945993,37.7794873984,SS,"(37.77948739793662, -122.39179459875783)"
202151,607,BRYANT ST,-122.3982412999,37.77929109980001,SS,"(37.77929109991092, -122.39824129984142)"
202171,656,EMBARCADERO SOUTH,-122.3884171002,37.782784201999995,SS,"(37.78278420238323, -122.38841709982127)"
202209,116,KING ST,-122.3902297986,37.7795731005,SS,"(37.77957310105384, -122.3902297994963)"
202268,545,BRANNAN ST,-122.3975228981,37.7774126985,SS,"(37.777412699232336, -122.39752289768768)"
202278,674,BRYANT ST,-122.399908416,37.778239404500006,SS,"(37.778239405257736, -122.39990841605379)"
202285,450,03RD ST,-122.39631989940001,37.7815831982,SS,"(37.7815831978082, -122.39631989867783)"
202313,126,SOUTH PARK,-122.39499069719999,37.7808658023,MS,"(37.78086580167575, -122.39499069738588)"
202383,79,TOWNSEND ST,-122.3900739008,37.780844897899996,SS,"(37.78084489807351, -122.3900739007822)"
