objectid,street_num,street_name,longitude,latitude,meter_type
202600,127,SOUTH PARK,-122.39486619799999,37.7807509982,MS
202608,312,TOWNSEND ST,-122.3953169374,37.776969894699995,-
202623,628,03RD ST,-122.393676398,37.779468298800005,SS
202633,4,BLUXOME ST,-122.3960444306,37.777558703400004,MS
202676,606,BRYANT ST,-122.3984449019,37.7793882013,SS
202694,440,BRANNAN ST,-122.3952252005,37.779474602,SS
202702,670,EMBARCADERO SOUTH,-122.3884464984,37.7824168009,SS
202733,187,TOWNSEND ST,-122.392415203,37.778996884200005,MS
202770,492,BRANNAN ST,-122.3964178001,37.778532498400004,SS
202790,717,03RD ST,-122.3922356998,37.778564701700006,SS
202828,440,05TH ST,-122.4008357001,37.7781030991,SS
202843,921,FOLSOM ST,-122.40387173280001,37.779762907000006,SS
202846,523,BRANNAN ST,-122.397033852,37.7777990907,SS
202942,248,05TH ST,-122.403896799,37.7805500002,-
203078,20,TERRY A FRANCOIS BLVD,-122.3890723974,37.776248502399994,SS
203079,805,BRYANT ST,-122.4026161001,37.7758382027,SS
203109,135,BERRY ST,-122.3919417017,37.7767881014,SS
203128,131,BERRY ST,-122.3918184989,37.776885298,SS
203147,553,MISSION ST,-122.3987211023,37.7887514018,SS
203149,162,BERRY ST,-122.39274300049999,37.7763601997,SS
203178,34,BLUXOME ST,-122.39678910159999,37.77698860210001,SS
203216,211,POST ST,-122.4056931024,37.7885821992,SS
203276,203,GRANT AVE,-122.405301701,37.7887940993,MS
203303,211,GRANT AVE,-122.4053481982,37.789019600399996,MS
203313,237,BERRY ST,-122.3943691232,37.774892819,SS
203397,722,BRANNAN ST,-122.4017646999,37.7743129981,SS
203457,348,TOWNSEND ST,-122.3960290197,37.7764096071,MS
203492,161,BLUXOME ST,-122.3991130181,37.774954804900005,MS
203551,353,TOWNSEND ST,-122.3961117156,37.7760333044,MS
203583,501,TOWNSEND ST,-122.40023238709999,37.772789361300006,MS
203584,535,TOWNSEND ST,-122.4001840456,37.7728274775,MS
203595,505,TOWNSEND ST,-122.39980538520001,37.773126042600005,MS
203643,257,CHANNEL ST,-122.3930719047,37.773145980200006,SS
203644,261,CHANNEL ST,-122.39322212540002,37.7730314975,SS
203714,651,LONG BRIDGE ST,-122.3926230001,37.772438493,SS
203834,381,TOWNSEND ST,-122.39693431549999,37.775386003499996,MS
203993,541,MISSION ST,-122.398460321,37.7889575432,SS
204074,659,MISSION ST,-122.40108569870002,37.7868831986,SS
204080,563,HOWARD ST,-122.3974479974,37.7872932021,SS
204139,223,POWELL ST,-122.4082246162,37.7870039025,-
204154,466,SPEAR ST,-122.38856110129998,37.7880456009,SS
204177,120,JESSIE ST,-122.40088370040002,37.7880660024,MS
204272,481,SPEAR ST,-122.3883768001,37.788103201300004,SS
204325,306,FREMONT ST,-122.39341369799999,37.7877246019,SS
204336,14,POST ST,-122.4026050025,37.789080100999996,SS
204342,406,EMBARCADERO SOUTH,-122.3885190018,37.7892766007,-
204372,20,HARRISON ST,-122.38919229780001,37.7891524983,SS
204425,129,02ND ST,-122.398948101,37.7874373988,SS
204428,408,FOLSOM ST,-122.39394319959999,37.787842898499996,-
204445,476,SPEAR ST,-122.38845879739999,37.787964302,SS
204489,64,MINNA ST,-122.39836631899999,37.7883246054,-
204495,179,01ST ST,-122.3963485991,37.7889001024,SS
204500,411,SUTTER ST,-122.4074486026,37.7893083011,SS
204540,408,HOWARD ST,-122.3955179022,37.7890395996,SS
204572,181,01ST ST,-122.3962894005,37.7888526999,SS
204589,404,FOLSOM ST,-122.3938565028,37.787911401,-
204594,233,FREMONT ST,-122.3943033979,37.788676400599996,SS
204613,208,STOCKTON ST,-122.4065835007,37.7878587012,-
204631,114,NEW MONTGOMERY ST,-122.4001054016,37.7870404989,MS
204634,1,NATOMA ST,-122.3966959004,37.788816099,-
204729,453,EMBARCADERO SOUTH,-122.3876605899,37.788159079,SS
204740,120,JESSIE ST,-122.4009540972,37.7880103019,MS
204754,450,SPEAR ST,-122.3887415023,37.7881888979,SS
204824,565,HOWARD ST,-122.3974697902,37.7872760305,SS
204895,31,GEARY ST,-122.40466769940001,37.787758699499996,SS
204924,28,HARRISON ST,-122.38932959889999,37.7890446008,SS
204927,106,HARRISON ST,-122.3897308015,37.788727899,SS
204930,219,FOLSOM ST,-122.3922927973,37.7889120997,SS
204937,407,SUTTER ST,-122.407302601,37.7893268027,SS
205017,114,MINNA ST,-122.39965438809999,37.7873034001,SS
205047,675,FOLSOM ST,-122.3986071979,37.7839185026,SS
205048,122,MINNA ST,-122.3998927024,37.787118098600004,SS
205062,111,BRYANT ST,-122.389140302,37.7865160991,SS
205066,351,FREMONT ST,-122.3922374991,37.7870336984,SS
205152,348,FREMONT ST,-122.3923626018,37.7868902002,SS
205174,556,EMBARCADERO SOUTH,-122.3882048984,37.7854336993,SS
205190,117,BRYANT ST,-122.389288902,37.78640399960001,SS
205210,344,02ND ST,-122.3956600984,37.7845892002,SS
205234,306,03RD ST,-122.39878679969999,37.7835480002,SS
205266,104,GEARY ST,-122.40531299979999,37.7877836999,SS
205267,334,02ND ST,-122.3959087,37.7847870019,SS
205278,32,HAWTHORNE ST,-122.3985409026,37.785181499000004,SS
205289,415,02ND ST,-122.3947212973,37.784082598000005,SS
205292,533,FOLSOM ST,-122.394856,37.7868791976,SS
205323,648,FOLSOM ST,-122.39812861940001,37.7845311069,SS
205369,665,FOLSOM ST,-122.3983672016,37.7841081013,SS
205421,20,KAPLAN LN,-122.3992394001,37.7849935991,MS
205434,139,NEW MONTGOMERY ST,-122.3992721007,37.786522,SS
205462,108,GEARY ST,-122.4054718983,37.787763700700005,SS
205491,573,FOLSOM ST,-122.39627749819999,37.7857583024,-
205597,114,NEW MONTGOMERY ST,-122.40009739969999,37.7870341008,MS
205634,15,OFARRELL ST,-122.4054794979,37.7866934993,SS
